game_id,season,week,team,opponent,points,home_flag,posteam,drives
2019_01_ATL_MIN,2019,1,MIN,ATL,28.0,1,MIN,10
2019_01_ATL_MIN,2019,1,ATL,MIN,12.0,0,ATL,10
2019_01_BAL_MIA,2019,1,MIA,BAL,10.0,1,MIA,10
2019_01_BAL_MIA,2019,1,BAL,MIA,59.0,0,BAL,12
2019_01_BUF_NYJ,2019,1,NYJ,BUF,16.0,1,NYJ,11
2019_01_BUF_NYJ,2019,1,BUF,NYJ,17.0,0,BUF,12
2019_01_CIN_SEA,2019,1,SEA,CIN,21.0,1,SEA,14
2019_01_CIN_SEA,2019,1,CIN,SEA,20.0,0,CIN,12
2019_01_DEN_OAK,2019,1,LV,DEN,24.0,1,LV,8
2019_01_DEN_OAK,2019,1,DEN,LV,16.0,0,DEN,8
2019_01_DET_ARI,2019,1,ARI,DET,27.0,1,ARI,16
2019_01_DET_ARI,2019,1,DET,ARI,27.0,0,DET,15
2019_01_GB_CHI,2019,1,CHI,GB,3.0,1,CHI,12
2019_01_GB_CHI,2019,1,GB,CHI,10.0,0,GB,13
2019_01_HOU_NO,2019,1,NO,HOU,30.0,1,NO,10
2019_01_HOU_NO,2019,1,HOU,NO,28.0,0,HOU,9
2019_01_IND_LAC,2019,1,LAC,IND,30.0,1,LAC,9
2019_01_IND_LAC,2019,1,IND,LAC,24.0,0,IND,9
2019_01_KC_JAX,2019,1,JAX,KC,26.0,1,JAX,10
2019_01_KC_JAX,2019,1,KC,JAX,40.0,0,KC,10
2019_01_LA_CAR,2019,1,CAR,LA,27.0,1,CAR,13
2019_01_LA_CAR,2019,1,LA,CAR,30.0,0,LA,13
2019_01_NYG_DAL,2019,1,DAL,NYG,35.0,1,DAL,10
2019_01_NYG_DAL,2019,1,NYG,DAL,17.0,0,NYG,10
2019_01_PIT_NE,2019,1,NE,PIT,33.0,1,NE,10
2019_01_PIT_NE,2019,1,PIT,NE,3.0,0,PIT,11
2019_01_SF_TB,2019,1,TB,SF,17.0,1,TB,11
2019_01_SF_TB,2019,1,SF,TB,31.0,0,SF,10
2019_01_TEN_CLE,2019,1,CLE,TEN,13.0,1,CLE,14
2019_01_TEN_CLE,2019,1,TEN,CLE,43.0,0,TEN,13
2019_01_WAS_PHI,2019,1,PHI,WAS,32.0,1,PHI,10
2019_01_WAS_PHI,2019,1,WAS,PHI,27.0,0,WAS,10
2019_02_ARI_BAL,2019,2,BAL,ARI,23.0,1,BAL,10
2019_02_ARI_BAL,2019,2,ARI,BAL,17.0,0,ARI,10
2019_02_BUF_NYG,2019,2,NYG,BUF,14.0,1,NYG,12
2019_02_BUF_NYG,2019,2,BUF,NYG,28.0,0,BUF,12
2019_02_CHI_DEN,2019,2,DEN,CHI,14.0,1,DEN,9
