game_id,season,week,team,opponent,points,home_flag,posteam,drives
2023_01_ARI_WAS,2023,1,WAS,ARI,20.0,1,WAS,13
2023_01_ARI_WAS,2023,1,ARI,WAS,16.0,0,ARI,11
2023_01_BUF_NYJ,2023,1,NYJ,BUF,22.0,1,NYJ,11
2023_01_BUF_NYJ,2023,1,BUF,NYJ,16.0,0,BUF,11
2023_01_CAR_ATL,2023,1,ATL,CAR,24.0,1,ATL,13
2023_01_CAR_ATL,2023,1,CAR,ATL,10.0,0,CAR,12
2023_01_CIN_CLE,2023,1,CLE,CIN,24.0,1,CLE,14
2023_01_CIN_CLE,2023,1,CIN,CLE,3.0,0,CIN,15
2023_01_DAL_NYG,2023,1,NYG,DAL,0.0,1,NYG,12
2023_01_DAL_NYG,2023,1,DAL,NYG,40.0,0,DAL,9
2023_01_DET_KC,2023,1,KC,DET,20.0,1,KC,11
2023_01_DET_KC,2023,1,DET,KC,21.0,0,DET,11
2023_01_GB_CHI,2023,1,CHI,GB,20.0,1,CHI,12
2023_01_GB_CHI,2023,1,GB,CHI,38.0,0,GB,11
2023_01_HOU_BAL,2023,1,BAL,HOU,25.0,1,BAL,11
2023_01_HOU_BAL,2023,1,HOU,BAL,9.0,0,HOU,12
2023_01_JAX_IND,2023,1,IND,JAX,21.0,1,IND,14
2023_01_JAX_IND,2023,1,JAX,IND,31.0,0,JAX,15
2023_01_LA_SEA,2023,1,SEA,LA,13.0,1,SEA,9
2023_01_LA_SEA,2023,1,LA,SEA,30.0,0,LA,9
2023_01_LV_DEN,2023,1,DEN,LV,16.0,1,DEN,6
2023_01_LV_DEN,2023,1,LV,DEN,17.0,0,LV,7
2023_01_MIA_LAC,2023,1,LAC,MIA,34.0,1,LAC,10
2023_01_MIA_LAC,2023,1,MIA,LAC,36.0,0,MIA,11
2023_01_PHI_NE,2023,1,NE,PHI,20.0,1,NE,13
2023_01_PHI_NE,2023,1,PHI,NE,25.0,0,PHI,13
2023_01_SF_PIT,2023,1,PIT,SF,7.0,1,PIT,11
2023_01_SF_PIT,2023,1,SF,PIT,30.0,0,SF,12
2023_01_TB_MIN,2023,1,MIN,TB,17.0,1,MIN,11
2023_01_TB_MIN,2023,1,TB,MIN,20.0,0,TB,12
2023_01_TEN_NO,2023,1,NO,TEN,16.0,1,NO,12
2023_01_TEN_NO,2023,1,TEN,NO,15.0,0,TEN,12
2023_02_BAL_CIN,2023,2,CIN,BAL,24.0,1,CIN,7
2023_02_BAL_CIN,2023,2,BAL,CIN,27.0,0,BAL,9
2023_02_CHI_TB,2023,2,TB,CHI,27.0,1,TB,10
2023_02_CHI_TB,2023,2,CHI,TB,17.0,0,CHI,10
2023_02_CLE_PIT,2023,2,PIT,CLE,26.0,1,PIT,14
2023_02_CLE_PIT,2023,2,CLE,PIT,22.0,0,CLE,15
2023_02_GB_ATL,2023,2,ATL,GB,25.0,1,ATL,10
2023_02_GB_ATL,2023,2,GB,ATL,24.0,0,GB,10
2023_02_IND_HOU,2023,2,HOU,IND,20.0,1,HOU,11
2023_02_IND_HOU,2023,2,IND,HOU,31.0,0,IND,10
2023_02_KC_JAX,2023,2,JAX,KC,9.0,1,JAX,11
2023_02_KC_JAX,2023,2,KC,JAX,17.0,0,KC,10
2023_02_LAC_TEN,2023,2,TEN,LAC,27.0,1,TEN,11
2023_02_LAC_TEN,2023,2,LAC,TEN,24.0,0,LAC,11
2023_02_LV_BUF,2023,2,BUF,LV,38.0,1,BUF,9
2023_02_LV_BUF,2023,2,LV,BUF,10.0,0,LV,9
2023_02_MIA_NE,2023,2,NE,MIA,17.0,1,NE,11
2023_02_MIA_NE,2023,2,MIA,NE,24.0,0,MIA,11
2023_02_MIN_PHI,2023,2,PHI,MIN,34.0,1,PHI,12
2023_02_MIN_PHI,2023,2,MIN,PHI,28.0,0,MIN,11
2023_02_NO_CAR,2023,2,CAR,NO,17.0,1,CAR,11
2023_02_NO_CAR,2023,2,NO,CAR,20.0,0,NO,11
2023_02_NYG_ARI,2023,2,ARI,NYG,28.0,1,ARI,10
2023_02_NYG_ARI,2023,2,NYG,ARI,31.0,0,NYG,10
2023_02_NYJ_DAL,2023,2,DAL,NYJ,30.0,1,DAL,12
2023_02_NYJ_DAL,2023,2,NYJ,DAL,10.0,0,NYJ,11
2023_02_SEA_DET,2023,2,DET,SEA,31.0,1,DET,11
2023_02_SEA_DET,2023,2,SEA,DET,37.0,0,SEA,10
2023_02_SF_LA,2023,2,LA,SF,23.0,1,LA,10
2023_02_SF_LA,2023,2,SF,LA,30.0,0,SF,10
2023_02_WAS_DEN,2023,2,DEN,WAS,33.0,1,DEN,11
2023_02_WAS_DEN,2023,2,WAS,DEN,35.0,0,WAS,11
2023_03_ATL_DET,2023,3,DET,ATL,20.0,1,DET,12
2023_03_ATL_DET,2023,3,ATL,DET,6.0,0,ATL,12
2023_03_BUF_WAS,2023,3,WAS,BUF,3.0,1,WAS,11
2023_03_BUF_WAS,2023,3,BUF,WAS,37.0,0,BUF,10
2023_03_CAR_SEA,2023,3,SEA,CAR,37.0,1,SEA,13
2023_03_CAR_SEA,2023,3,CAR,SEA,27.0,0,CAR,12
2023_03_CHI_KC,2023,3,KC,CHI,41.0,1,KC,11
