game_id,season,week,team,opponent,points,home_flag,posteam,drives
2021_01_ARI_TEN,2021,1,TEN,ARI,13.0,1,TEN,12
2021_01_ARI_TEN,2021,1,ARI,TEN,38.0,0,ARI,12
2021_01_BAL_LV,2021,1,LV,BAL,33.0,1,LV,14
2021_01_BAL_LV,2021,1,BAL,LV,27.0,0,BAL,13
2021_01_CHI_LA,2021,1,LA,CHI,34.0,1,LA,9
2021_01_CHI_LA,2021,1,CHI,LA,14.0,0,CHI,8
2021_01_CLE_KC,2021,1,KC,CLE,33.0,1,KC,9
2021_01_CLE_KC,2021,1,CLE,KC,29.0,0,CLE,9
2021_01_DAL_TB,2021,1,TB,DAL,31.0,1,TB,13
2021_01_DAL_TB,2021,1,DAL,TB,29.0,0,DAL,13
2021_01_DEN_NYG,2021,1,NYG,DEN,13.0,1,NYG,9
2021_01_DEN_NYG,2021,1,DEN,NYG,27.0,0,DEN,8
2021_01_GB_NO,2021,1,NO,GB,38.0,1,NO,9
2021_01_GB_NO,2021,1,GB,NO,3.0,0,GB,9
2021_01_JAX_HOU,2021,1,HOU,JAX,37.0,1,HOU,14
2021_01_JAX_HOU,2021,1,JAX,HOU,21.0,0,JAX,14
2021_01_LAC_WAS,2021,1,WAS,LAC,16.0,1,WAS,9
2021_01_LAC_WAS,2021,1,LAC,WAS,20.0,0,LAC,9
2021_01_MIA_NE,2021,1,NE,MIA,16.0,1,NE,8
2021_01_MIA_NE,2021,1,MIA,NE,17.0,0,MIA,9
2021_01_MIN_CIN,2021,1,CIN,MIN,27.0,1,CIN,13
2021_01_MIN_CIN,2021,1,MIN,CIN,24.0,0,MIN,13
2021_01_NYJ_CAR,2021,1,CAR,NYJ,19.0,1,CAR,12
2021_01_NYJ_CAR,2021,1,NYJ,CAR,14.0,0,NYJ,12
2021_01_PHI_ATL,2021,1,ATL,PHI,6.0,1,ATL,12
2021_01_PHI_ATL,2021,1,PHI,ATL,32.0,0,PHI,11
2021_01_PIT_BUF,2021,1,BUF,PIT,16.0,1,BUF,11
2021_01_PIT_BUF,2021,1,PIT,BUF,23.0,0,PIT,11
2021_01_SEA_IND,2021,1,IND,SEA,16.0,1,IND,11
2021_01_SEA_IND,2021,1,SEA,IND,28.0,0,SEA,10
2021_01_SF_DET,2021,1,DET,SF,33.0,1,DET,14
2021_01_SF_DET,2021,1,SF,DET,41.0,0,SF,13
2021_02_ATL_TB,2021,2,TB,ATL,48.0,1,TB,12
2021_02_ATL_TB,2021,2,ATL,TB,25.0,0,ATL,14
2021_02_BUF_MIA,2021,2,MIA,BUF,0.0,1,MIA,12
2021_02_BUF_MIA,2021,2,BUF,MIA,35.0,0,BUF,13
2021_02_CIN_CHI,2021,2,CHI,CIN,20.0,1,CHI,10
2021_02_CIN_CHI,2021,2,CIN,CHI,17.0,0,CIN,11
2021_02_DAL_LAC,2021,2,LAC,DAL,17.0,1,LAC,7
2021_02_DAL_LAC,2021,2,DAL,LAC,20.0,0,DAL,8
2021_02_DEN_JAX,2021,2,JAX,DEN,13.0,1,JAX,11
2021_02_DEN_JAX,2021,2,DEN,JAX,23.0,0,DEN,11
2021_02_DET_GB,2021,2,GB,DET,35.0,1,GB,10
2021_02_DET_GB,2021,2,DET,GB,17.0,0,DET,9
2021_02_HOU_CLE,2021,2,CLE,HOU,31.0,1,CLE,10
2021_02_HOU_CLE,2021,2,HOU,CLE,21.0,0,HOU,9
2021_02_KC_BAL,2021,2,BAL,KC,36.0,1,BAL,11
2021_02_KC_BAL,2021,2,KC,BAL,35.0,0,KC,10
2021_02_LA_IND,2021,2,IND,LA,24.0,1,IND,10
2021_02_LA_IND,2021,2,LA,IND,27.0,0,LA,10
2021_02_LV_PIT,2021,2,PIT,LV,17.0,1,PIT,11
2021_02_LV_PIT,2021,2,LV,PIT,26.0,0,LV,10
2021_02_MIN_ARI,2021,2,ARI,MIN,34.0,1,ARI,12
2021_02_MIN_ARI,2021,2,MIN,ARI,33.0,0,MIN,11
