game_id,season,week,team,opponent,points,home_flag,posteam,drives
2022_01_BAL_NYJ,2022,1,NYJ,BAL,9.0,1,NYJ,12
2022_01_BAL_NYJ,2022,1,BAL,NYJ,24.0,0,BAL,13
2022_01_BUF_LA,2022,1,LA,BUF,10.0,1,LA,10
2022_01_BUF_LA,2022,1,BUF,LA,31.0,0,BUF,10
2022_01_CLE_CAR,2022,1,CAR,CLE,24.0,1,CAR,12
2022_01_CLE_CAR,2022,1,CLE,CAR,26.0,0,CLE,11
2022_01_DEN_SEA,2022,1,SEA,DEN,17.0,1,SEA,8
2022_01_DEN_SEA,2022,1,DEN,SEA,16.0,0,DEN,8
2022_01_GB_MIN,2022,1,MIN,GB,23.0,1,MIN,10
2022_01_GB_MIN,2022,1,GB,MIN,7.0,0,GB,11
2022_01_IND_HOU,2022,1,HOU,IND,20.0,1,HOU,14
2022_01_IND_HOU,2022,1,IND,HOU,20.0,0,IND,13
2022_01_JAX_WAS,2022,1,WAS,JAX,28.0,1,WAS,12
2022_01_JAX_WAS,2022,1,JAX,WAS,22.0,0,JAX,11
2022_01_KC_ARI,2022,1,ARI,KC,21.0,1,ARI,11
2022_01_KC_ARI,2022,1,KC,ARI,44.0,0,KC,10
2022_01_LV_LAC,2022,1,LAC,LV,24.0,1,LAC,11
2022_01_LV_LAC,2022,1,LV,LAC,19.0,0,LV,11
2022_01_NE_MIA,2022,1,MIA,NE,20.0,1,MIA,8
2022_01_NE_MIA,2022,1,NE,MIA,7.0,0,NE,9
2022_01_NO_ATL,2022,1,ATL,NO,26.0,1,ATL,13
2022_01_NO_ATL,2022,1,NO,ATL,27.0,0,NO,12
2022_01_NYG_TEN,2022,1,TEN,NYG,20.0,1,TEN,11
2022_01_NYG_TEN,2022,1,NYG,TEN,21.0,0,NYG,12
2022_01_PHI_DET,2022,1,DET,PHI,35.0,1,DET,11
2022_01_PHI_DET,2022,1,PHI,DET,38.0,0,PHI,10
2022_01_PIT_CIN,2022,1,CIN,PIT,20.0,1,CIN,14
2022_01_PIT_CIN,2022,1,PIT,CIN,23.0,0,PIT,15
2022_01_SF_CHI,2022,1,CHI,SF,19.0,1,CHI,11
2022_01_SF_CHI,2022,1,SF,CHI,10.0,0,SF,11
2022_01_TB_DAL,2022,1,DAL,TB,3.0,1,DAL,11
2022_01_TB_DAL,2022,1,TB,DAL,19.0,0,TB,11
2022_02_ARI_LV,2022,2,LV,ARI,23.0,1,LV,9
2022_02_ARI_LV,2022,2,ARI,LV,29.0,0,ARI,9
2022_02_ATL_LA,2022,2,LA,ATL,31.0,1,LA,10
