game_id,season,week,team,opponent,points,home_flag,posteam,drives
2024_01_ARI_BUF,2024,1,BUF,ARI,34.0,1,BUF,10
2024_01_ARI_BUF,2024,1,ARI,BUF,28.0,0,ARI,10
2024_01_BAL_KC,2024,1,KC,BAL,27.0,1,KC,10
2024_01_BAL_KC,2024,1,BAL,KC,20.0,0,BAL,10
2024_01_CAR_NO,2024,1,NO,CAR,47.0,1,NO,11
2024_01_CAR_NO,2024,1,CAR,NO,10.0,0,CAR,13
2024_01_DAL_CLE,2024,1,CLE,DAL,17.0,1,CLE,14
2024_01_DAL_CLE,2024,1,DAL,CLE,33.0,0,DAL,14
2024_01_DEN_SEA,2024,1,SEA,DEN,26.0,1,SEA,15
2024_01_DEN_SEA,2024,1,DEN,SEA,20.0,0,DEN,15
2024_01_GB_PHI,2024,1,PHI,GB,34.0,1,PHI,11
2024_01_GB_PHI,2024,1,GB,PHI,29.0,0,GB,11
2024_01_HOU_IND,2024,1,IND,HOU,27.0,1,IND,9
2024_01_HOU_IND,2024,1,HOU,IND,29.0,0,HOU,10
2024_01_JAX_MIA,2024,1,MIA,JAX,20.0,1,MIA,11
2024_01_JAX_MIA,2024,1,JAX,MIA,17.0,0,JAX,11
2024_01_LA_DET,2024,1,DET,LA,26.0,1,DET,11
2024_01_LA_DET,2024,1,LA,DET,20.0,0,LA,10
2024_01_LV_LAC,2024,1,LAC,LV,22.0,1,LAC,13
2024_01_LV_LAC,2024,1,LV,LAC,10.0,0,LV,13
2024_01_MIN_NYG,2024,1,NYG,MIN,6.0,1,NYG,11
2024_01_MIN_NYG,2024,1,MIN,NYG,28.0,0,MIN,10
2024_01_NE_CIN,2024,1,CIN,NE,10.0,1,CIN,8
2024_01_NE_CIN,2024,1,NE,CIN,16.0,0,NE,10
2024_01_NYJ_SF,2024,1,SF,NYJ,32.0,1,SF,10
2024_01_NYJ_SF,2024,1,NYJ,SF,19.0,0,NYJ,10
2024_01_PIT_ATL,2024,1,ATL,PIT,10.0,1,ATL,10
2024_01_PIT_ATL,2024,1,PIT,ATL,18.0,0,PIT,10
2024_01_TEN_CHI,2024,1,CHI,TEN,24.0,1,CHI,11
2024_01_TEN_CHI,2024,1,TEN,CHI,17.0,0,TEN,13
2024_01_WAS_TB,2024,1,TB,WAS,37.0,1,TB,9
2024_01_WAS_TB,2024,1,WAS,TB,20.0,0,WAS,9
2024_02_ATL_PHI,2024,2,PHI,ATL,21.0,1,PHI,9
2024_02_ATL_PHI,2024,2,ATL,PHI,22.0,0,ATL,9
2024_02_BUF_MIA,2024,2,MIA,BUF,10.0,1,MIA,10
2024_02_BUF_MIA,2024,2,BUF,MIA,31.0,0,BUF,10
2024_02_CHI_HOU,2024,2,HOU,CHI,19.0,1,HOU,13
2024_02_CHI_HOU,2024,2,CHI,HOU,13.0,0,CHI,13
2024_02_CIN_KC,2024,2,KC,CIN,26.0,1,KC,9
2024_02_CIN_KC,2024,2,CIN,KC,25.0,0,CIN,10
2024_02_CLE_JAX,2024,2,JAX,CLE,13.0,1,JAX,10
2024_02_CLE_JAX,2024,2,CLE,JAX,18.0,0,CLE,9
2024_02_IND_GB,2024,2,GB,IND,16.0,1,GB,10
2024_02_IND_GB,2024,2,IND,GB,10.0,0,IND,10
2024_02_LAC_CAR,2024,2,CAR,LAC,3.0,1,CAR,11
2024_02_LAC_CAR,2024,2,LAC,CAR,26.0,0,LAC,12
2024_02_LA_ARI,2024,2,ARI,LA,41.0,1,ARI,9
2024_02_LA_ARI,2024,2,LA,ARI,10.0,0,LA,10
2024_02_LV_BAL,2024,2,BAL,LV,23.0,1,BAL,12
2024_02_LV_BAL,2024,2,LV,BAL,26.0,0,LV,12
2024_02_NO_DAL,2024,2,DAL,NO,19.0,1,DAL,10
2024_02_NO_DAL,2024,2,NO,DAL,44.0,0,NO,10
2024_02_NYG_WAS,2024,2,WAS,NYG,21.0,1,WAS,8
2024_02_NYG_WAS,2024,2,NYG,WAS,18.0,0,NYG,7
2024_02_NYJ_TEN,2024,2,TEN,NYJ,17.0,1,TEN,11
