game_id,season,week,team,opponent,points,home_flag,posteam,drives
2018_01_ATL_PHI,2018,1,PHI,ATL,18.0,1,PHI,11
2018_01_ATL_PHI,2018,1,ATL,PHI,12.0,0,ATL,12
2018_01_BUF_BAL,2018,1,BAL,BUF,47.0,1,BAL,14
2018_01_BUF_BAL,2018,1,BUF,BAL,3.0,0,BUF,15
2018_01_CHI_GB,2018,1,GB,CHI,24.0,1,GB,13
2018_01_CHI_GB,2018,1,CHI,GB,23.0,0,CHI,10
2018_01_CIN_IND,2018,1,IND,CIN,23.0,1,IND,11
2018_01_CIN_IND,2018,1,CIN,IND,34.0,0,CIN,10
2018_01_DAL_CAR,2018,1,CAR,DAL,16.0,1,CAR,11
2018_01_DAL_CAR,2018,1,DAL,CAR,8.0,0,DAL,11
2018_01_HOU_NE,2018,1,NE,HOU,27.0,1,NE,13
2018_01_HOU_NE,2018,1,HOU,NE,20.0,0,HOU,15
2018_01_JAX_NYG,2018,1,NYG,JAX,15.0,1,NYG,12
2018_01_JAX_NYG,2018,1,JAX,NYG,20.0,0,JAX,13
2018_01_KC_LAC,2018,1,LAC,KC,28.0,1,LAC,11
2018_01_KC_LAC,2018,1,KC,LAC,38.0,0,KC,11
2018_01_LA_OAK,2018,1,LV,LA,13.0,1,LV,11
2018_01_LA_OAK,2018,1,LA,LV,33.0,0,LA,10
2018_01_NYJ_DET,2018,1,DET,NYJ,17.0,1,DET,14
2018_01_NYJ_DET,2018,1,NYJ,DET,48.0,0,NYJ,12
2018_01_PIT_CLE,2018,1,CLE,PIT,21.0,1,CLE,19
2018_01_PIT_CLE,2018,1,PIT,CLE,21.0,0,PIT,19
2018_01_SEA_DEN,2018,1,DEN,SEA,27.0,1,DEN,14
2018_01_SEA_DEN,2018,1,SEA,DEN,24.0,0,SEA,15
2018_01_SF_MIN,2018,1,MIN,SF,24.0,1,MIN,12
2018_01_SF_MIN,2018,1,SF,MIN,16.0,0,SF,12
2018_01_TB_NO,2018,1,NO,TB,40.0,1,NO,11
2018_01_TB_NO,2018,1,TB,NO,48.0,0,TB,11
2018_01_TEN_MIA,2018,1,MIA,TEN,27.0,1,MIA,14
2018_01_TEN_MIA,2018,1,TEN,MIA,20.0,0,TEN,13
2018_01_WAS_ARI,2018,1,ARI,WAS,6.0,1,ARI,10
2018_01_WAS_ARI,2018,1,WAS,ARI,24.0,0,WAS,10
2018_02_ARI_LA,2018,2,LA,ARI,34.0,1,LA,10
2018_02_ARI_LA,2018,2,ARI,LA,0.0,0,ARI,10
2018_02_BAL_CIN,2018,2,CIN,BAL,34.0,1,CIN,13
2018_02_BAL_CIN,2018,2,BAL,CIN,23.0,0,BAL,13
2018_02_CAR_ATL,2018,2,ATL,CAR,31.0,1,ATL,10
2018_02_CAR_ATL,2018,2,CAR,ATL,24.0,0,CAR,11
2018_02_CLE_NO,2018,2,NO,CLE,21.0,1,NO,12
2018_02_CLE_NO,2018,2,CLE,NO,18.0,0,CLE,12
2018_02_DET_SF,2018,2,SF,DET,30.0,1,SF,13
2018_02_DET_SF,2018,2,DET,SF,27.0,0,DET,12
2018_02_HOU_TEN,2018,2,TEN,HOU,20.0,1,TEN,10
2018_02_HOU_TEN,2018,2,HOU,TEN,17.0,0,HOU,10
2018_02_IND_WAS,2018,2,WAS,IND,9.0,1,WAS,16
2018_02_IND_WAS,2018,2,IND,WAS,21.0,0,IND,14
2018_02_KC_PIT,2018,2,PIT,KC,37.0,1,PIT,11
2018_02_KC_PIT,2018,2,KC,PIT,42.0,0,KC,12
2018_02_LAC_BUF,2018,2,BUF,LAC,20.0,1,BUF,11
2018_02_LAC_BUF,2018,2,LAC,BUF,31.0,0,LAC,12
2018_02_MIA_NYJ,2018,2,NYJ,MIA,12.0,1,NYJ,12
2018_02_MIA_NYJ,2018,2,MIA,NYJ,20.0,0,MIA,12
2018_02_MIN_GB,2018,2,GB,MIN,29.0,1,GB,12
