week,rmse,mae,lpd,sharpness
124,10.57143723237495,8.29997845398264,-3.817146759523007,210.64790533693275
125,16.50289570465907,12.248232587663404,-4.344316237549385,191.67806627560086
126,12.521836586040582,9.81233967697839,-3.9426108700479823,208.18248076137016
127,16.819059696949637,12.719348432615703,-4.332364017216051,201.21742538245442
128,11.252202588636768,8.765155791858687,-3.84386937398654,194.60645078814582
129,15.03860093311635,12.590222239873272,-4.189349546125962,179.4478738933915
130,16.241944489445423,14.506961019765864,-4.289850393279756,190.6738979566216
131,11.081612269836713,8.961402394133108,-3.839135368240085,195.23212475569505
132,11.269681881414865,9.170466025768878,-3.8507369219846237,192.9276191171977
133,12.764311722842832,9.059820070531826,-3.9822081580799176,180.8921267487613
134,9.388078730043244,7.0215448281589135,-3.7740158222357985,203.1750808298146
135,13.481757424909672,11.312352953008851,-4.017868573490434,198.784349366202
136,15.238267936346029,12.402191428948964,-4.178596834070264,200.31641970430002
137,12.037065285317956,10.119309819555903,-3.9124231181955365,187.7241150944889
138,13.297465695421208,10.896738087646943,-4.016339678560779,189.83447686111964
139,12.776163466222155,10.545897146964455,-3.9542500708569603,175.66149116576838
140,12.245937308680869,10.182112612687046,-3.916473445036316,193.41254727683108
